,Salary,Sector,sales,roe,ros
0,543,Cons_prod,2669.3,30.5,323
1,1627,Cons_prod,8270.3,19.4,104
2,465,Utility,2367.7,5.1,43
3,223,Cons_prod,181.5,22.7,295
4,520,Utility,3681.5,12.8,64
5,412,Utility,2225.5,10.1,13
6,333,Utility,2388.7,13.8,59
7,736,Cons_prod,631.5,21.3,71
8,2109,Finance,9944.4,11.6,23
9,1593,Industry,20659.0,14.9,16
10,931,Industry,10885.0,12.7,10
11,474,Utility,2159.3,11.1,16
12,668,Utility,2996.0,13.5,81
13,1261,Cons_prod,5225.5,12.4,1
14,1220,Industry,8995.0,15.4,28
15,600,Finance,4068.7,12.8,-6
16,1022,Industry,1212.3,38.7,83
17,1070,Industry,1072.6,19.5,269
18,1619,Cons_prod,7632.8,11.0,32
19,1502,Cons_prod,3453.8,48.1,28
20,918,Cons_prod,29797.0,6.4,-28
21,448,Utility,1411.7,14.0,14
22,1368,Industry,21783.2,13.8,56
23,959,Finance,4045.2,17.3,51
24,1161,Cons_prod,7177.0,42.2,68
25,759,Industry,2824.2,16.4,21
26,833,Finance,1073.2,24.6,51
27,1401,Cons_prod,12183.5,19.6,93
28,2092,Cons_prod,7671.5,43.7,80
29,552,Utility,2064.5,12.9,37
30,959,Utility,3783.2,14.6,65
31,894,Industry,1534.0,19.2,74
32,439,Utility,2617.1,10.8,65
33,729,Cons_prod,1391.3,22.6,32
34,607,Utility,5262.0,6.2,59
35,730,Cons_prod,1110.6,29.5,60
36,567,Industry,596.8,25.9,109
37,760,Finance,834.4,15.8,55
38,953,Finance,1320.4,17.5,83
39,1160,Industry,4319.7,16.1,-2
40,933,Industry,19773.0,26.8,-10
41,14822,Cons_prod,2159.2,19.4,17
42,3068,Cons_prod,3825.6,21.5,142
43,1700,Cons_prod,6775.2,44.4,61
44,1489,Cons_prod,25848.0,21.7,114
45,694,Utility,3532.5,12.6,37
46,441,Utility,3306.7,7.4,150
47,803,Utility,4178.6,10.7,52
48,775,Industry,3195.6,14.8,12
49,453,Cons_prod,175.2,26.2,418
50,688,Utility,2357.9,7.4,33
51,1774,Industry,7727.9,19.3,19
52,1469,Industry,6309.1,8.5,79
53,912,Finance,2626.4,16.4,70
54,6640,Finance,8946.0,10.2,34
55,770,Cons_prod,2715.6,15.7,63
56,11233,Cons_prod,6047.9,22.9,74
57,1688,Industry,12343.0,14.4,15
58,1631,Utility,4617.0,11.8,75
59,1620,Cons_prod,17453.8,19.4,128
60,829,Industry,1669.1,17.1,64
61,1041,Industry,4418.3,15.6,74
62,791,Cons_prod,976.7,19.9,89
63,1900,Cons_prod,17802.7,23.2,142
64,516,Industry,649.2,13.7,27
65,713,Cons_prod,962.8,18.0,81
66,1798,Finance,24332.0,15.5,2
67,441,Finance,3408.5,15.9,37
68,1159,Finance,4293.8,16.9,107
69,1351,Finance,4211.9,9.0,-4
70,700,Finance,6682.3,13.0,53
71,595,Finance,1919.7,14.2,61
72,1750,Finance,14932.1,15.9,62
73,360,Cons_prod,298.7,2.1,302
74,1237,Industry,4570.2,10.5,37
75,1127,Cons_prod,7863.5,16.2,152
76,1097,Finance,2772.1,8.9,20
77,1077,Cons_prod,5296.0,20.0,36
78,1342,Industry,6222.2,10.9,59
79,1407,Industry,2762.8,13.2,28
80,476,Industry,611.3,16.2,40
81,937,Industry,2513.8,22.3,44
82,1221,Cons_prod,97649.9,15.1,-7
83,1892,Finance,2659.5,8.6,126
84,1045,Cons_prod,2917.4,11.6,203
85,1681,Industry,12915.0,16.5,29
86,2101,Cons_prod,10300.0,23.4,76
87,3646,Cons_prod,3921.5,7.8,29
88,800,Utility,3372.0,6.7,60
89,1195,Industry,6285.0,20.3,49
90,1094,Industry,2966.8,16.3,44
91,1024,Industry,8169.0,14.2,-10
92,532,Utility,2714.9,10.6,35
93,732,Utility,4800.1,12.9,36
94,1694,Cons_prod,3322.9,24.8,100
95,1492,Industry,12431.7,18.4,58
96,577,Industry,3043.6,18.1,1
97,1095,Industry,27595.0,14.1,191
98,1334,Cons_prod,514.1,22.3,358
99,568,Industry,11436.0,10.2,-19
