,GPS_Height,Vert_Prec,Horz_Prec,Northing,Easting,Point_ID,ORIG_FID, D0,D60,D120,D180,D240,D300,D360,D420,D480,D540,D600,D660,D720,D780,D840,D900,D960,D1020,D1080,D1140,D1200
0,2300.49,0.8,0.5,718513.06,460792.37,1,0,0,0,1,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
1,2300.58,0.8,0.4,718518.26,460789.38,2,1,0,1,1,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2,2299.87,0.8,0.4,718523.1,460787.08,3,2,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5
3,2306.12,3.1,1.5,718530.3,460778.86,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2299.16,2.2,1.2,718536.7,460783.42,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2298.93,0.8,0.5,718534.98,460776.37,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2298.44,0.8,0.4,718531.97,460771.41,7,6,0,0,0,0,0,1,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5
7,2301.09,0.9,0.5,718526.28,460775.04,8,7,0,0,0,0,0,1,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5
8,2301.3,0.6,0.4,718521.65,460779.98,11,10,0,0,0,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5
9,2302.65,0.6,0.4,718518.92,460774.58,12,11,0,0,0,1,1,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5
10,2302.9,0.6,0.4,718514.35,460778.46,13,12,0,0,0,0,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5
11,2301.83,0.6,0.4,718515.92,460784.46,14,13,0,0,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,2301.64,0.6,0.4,718509.11,460788.33,15,14,0,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,2302.82,0.6,0.4,718507.43,460780.81,16,15,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,2303.73,0.6,0.4,718507.17,460773.42,17,16,0,0,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,2303.55,0.7,0.4,718512.99,460771.12,18,17,0,1,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,2303.54,0.7,0.4,718517.2,460767.51,19,18,0,0,0,0,0,2,2,2,2,3,3,3,3,4,5,5,5,5,5,5,5
17,2302.23,0.7,0.4,718523.38,460769.38,20,19,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,5,5,5,5,5,5
18,2298.47,0.9,0.5,718526.23,460769.13,21,20,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
19,2300.03,0.8,0.5,718527.63,460764.42,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2297.42,0.9,0.5,718530.11,460755.77,23,22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3
21,2297.66,0.8,0.4,718530.24,460749.99,24,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,5,5,5
22,2298.48,0.6,0.4,718535.96,460746.18,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2297.86,1.2,0.6,718535.32,460738.59,26,25,0,0,0,0,0,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5
24,2300.49,1.4,0.6,718528.65,460736.95,27,26,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,4,4,5,5,5
25,2300.87,0.9,0.4,718523.54,460736.24,28,27,0,1,1,2,2,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5
26,2305.05,1.0,0.5,718517.43,460733.55,29,28,0,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,2304.21,1.0,0.6,718515.86,460740.19,30,29,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,2302.8,1.0,0.5,718521.6,460742.35,31,30,0,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,2300.21,0.8,0.4,718529.07,460743.11,32,31,0,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,2302.67,0.7,0.4,718522.39,460753.76,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4
31,2304.83,0.7,0.4,718516.95,460749.03,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4
32,2305.72,0.6,0.4,718515.91,460755.12,36,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,5,5,5,5
33,2305.66,0.7,0.5,718512.58,460761.38,37,36,0,0,0,2,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5
34,2306.86,0.7,0.4,718508.52,460754.92,38,37,0,0,1,1,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5
35,2306.95,0.7,0.4,718503.4,460760.85,39,38,0,0,0,0,0,2,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5
36,2305.41,0.7,0.4,718507.9,460765.98,40,39,0,1,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,2308.16,0.8,0.5,718502.59,460753.26,42,41,0,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,2308.03,0.7,0.4,718506.69,460748.09,43,42,0,0,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
39,2307.78,0.6,0.4,718508.68,460739.57,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,3,3
40,2306.96,0.7,0.4,718511.1,460732.48,46,45,0,0,0,1,1,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5
41,2307.05,0.7,0.4,718513.87,460725.97,47,46,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,5,5,5,5
42,2306.97,0.6,0.6,718517.48,460720.02,48,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2308.35,0.7,0.4,718517.59,460712.74,49,48,0,0,0,1,1,2,2,2,2,2,3,3,3,4,4,5,5,5,5,5,5
44,2308.17,0.7,0.4,718518.02,460706.02,50,49,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,4,4,4,5
45,2308.48,0.7,0.4,718518.54,460700.54,51,50,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,5,5,5,5
46,2307.76,0.7,0.4,718519.94,460694.11,52,51,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,5,5,5,5,5
47,2307.93,0.6,0.5,718519.27,460687.16,53,52,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,4,5,5,5
48,2307.04,0.7,0.4,718517.85,460680.67,54,53,0,0,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,5,5,5
49,2305.97,0.6,0.4,718513.97,460673.57,55,54,0,1,1,1,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,5
50,2304.68,0.6,0.4,718522.12,460671.06,56,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
51,2305.84,0.7,0.4,718523.89,460678.43,57,56,0,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,5,5,5,5,5
52,2304.19,0.7,0.4,718525.13,460686.13,58,57,0,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
53,2303.71,0.6,0.4,718525.53,460692.47,59,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
54,2305.12,0.7,0.4,718524.57,460699.57,60,59,0,0,0,0,0,1,1,1,1,0,3,3,3,3,5,5,5,5,5,5,5
55,2304.84,0.7,0.4,718523.91,460706.61,61,60,0,0,0,0,0,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5
56,2305.61,0.7,0.5,718523.6,460713.42,62,61,0,0,0,1,1,1,1,1,1,2,2,2,3,3,5,5,5,5,5,5,5
57,2305.16,0.7,0.4,718523.41,460720.34,63,62,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4
58,2304.78,0.6,0.4,718520.13,460727.34,64,63,0,0,0,1,1,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5
59,2302.9,0.7,0.4,718526.3,460729.42,67,66,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5
60,2302.91,0.6,0.4,718530.01,460723.22,68,67,0,0,0,0,0,0,0,2,2,2,4,4,4,4,5,5,5,5,5,5,5
61,2303.21,0.6,0.4,718529.96,460716.3,69,68,0,1,1,1,2,2,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5
62,2303.61,0.7,0.4,718529.54,460709.7,70,69,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,5,5,5
63,2302.99,0.6,0.4,718530.44,460703.36,71,70,0,0,0,0,0,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5
64,2301.95,0.6,0.4,718532.07,460696.34,72,71,0,1,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5
65,2302.84,0.7,0.4,718530.76,460690.5,73,72,0,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
66,2303.89,0.7,0.4,718529.24,460682.23,74,73,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
67,2303.34,0.8,0.5,718530.79,460675.64,75,74,0,0,0,0,0,0,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5
68,2303.15,0.7,0.5,718519.91,460665.8,77,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2300.43,0.7,0.4,718509.92,460664.6,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2305.2,0.7,0.4,718505.67,460670.72,79,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2296.33,0.7,0.4,718512.02,460659.75,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2300.5,0.6,0.4,718515.02,460661.45,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2300.29,0.6,0.4,718531.4,460670.42,83,82,0,1,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
74,2299.68,0.7,0.4,718535.68,460677.16,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2297.72,0.6,0.4,718535.87,460686.8,86,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,2298.5,0.6,0.4,718537.96,460692.33,87,86,0,0,0,0,1,1,2,2,2,3,3,3,4,5,5,5,5,5,5,5,5
77,2299.27,0.8,0.5,718537.5,460699.28,88,87,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,5
78,2298.76,0.6,0.4,718542.39,460705.47,89,88,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,5
79,2299.16,0.6,0.4,718543.38,460712.75,90,89,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,4,4,5
80,2298.45,0.5,0.4,718542.74,460719.25,91,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,5
81,2300.78,0.5,0.3,718535.47,460720.18,92,91,0,0,0,0,0,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,5
82,2300.09,0.6,0.4,718533.75,460727.42,93,92,0,0,0,0,0,1,1,1,1,1,2,2,2,2,4,4,4,5,5,5,5
83,2297.26,0.6,0.4,718537.71,460732.61,95,94,0,0,0,0,0,2,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5
84,2296.63,0.6,0.4,718542.02,460742.76,96,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2294.4,0.6,0.5,718541.92,460749.21,97,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2291.46,0.6,0.5,718547.55,460745.73,98,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2291.04,0.6,0.4,718544.6,460753.05,99,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2293.71,0.7,0.5,718537.07,460752.72,100,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2294.76,0.6,0.4,718534.72,460759.05,101,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2296.25,0.5,0.4,718541.17,460779.5,104,103,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,4,4,5
91,2292.6,0.5,0.4,718547.13,460776.06,105,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2292.46,0.7,0.5,718538.79,460773.45,106,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2292.3,0.6,0.5,718534.61,460766.72,107,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2289.22,0.5,0.5,718540.02,460766.32,108,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2288.65,0.5,0.4,718544.88,460770.56,109,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
96,2285.4,0.5,0.4,718547.17,460763.98,111,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2286.4,0.5,0.4,718545.87,460757.27,112,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2288.12,0.5,0.5,718551.16,460750.93,113,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2287.0,0.6,0.4,718560.32,460746.03,115,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
100,2290.72,0.5,0.5,718556.88,460742.4,116,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2288.04,0.6,0.4,718561.92,460741.04,117,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
102,2284.51,0.6,0.4,718568.59,460743.53,118,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2283.15,0.5,0.4,718567.45,460747.89,119,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2283.0,0.4,0.3,718556.41,460752.39,120,119,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,5,5,5,5
105,2283.24,0.6,0.5,718553.26,460760.28,121,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2285.69,0.4,0.4,718554.89,460766.71,122,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2286.67,0.5,0.5,718560.95,460736.45,128,125,0,0,0,1,1,2,2,2,2,2,3,3,3,3,5,5,5,5,5,5,5
108,2291.29,0.5,0.4,718549.74,460737.85,130,127,0,0,0,0,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5
109,2291.95,0.4,0.5,718546.45,460734.46,131,128,0,0,1,1,2,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5
110,2297.31,0.4,0.4,718540.09,460726.1,134,131,0,0,1,1,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
111,2296.77,0.5,0.4,718550.57,460716.79,137,134,0,0,1,1,1,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5
112,2297.34,0.4,0.3,718548.88,460709.72,138,135,0,0,0,1,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,5
113,2296.53,0.5,0.4,718547.19,460704.03,139,136,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,5,5,5
114,2296.71,0.5,0.4,718545.21,460698.97,140,137,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5
115,2295.7,0.5,0.4,718542.4,460692.07,141,138,0,0,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5,5,5,5,5
116,2295.1,0.5,0.7,718542.15,460685.31,142,139,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
117,2295.51,0.5,0.5,718542.65,460677.67,143,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
118,2295.54,1.2,1.1,718542.63,460671.52,144,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2297.67,0.5,0.5,718538.2,460667.1,145,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
